14.1,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.5355,0.5355,0.5355,0.5355,0.5355,0.5355,0.5355,0.5355,0.5355,0.5355,0.5355,0.5355,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.561,0.561,0.561,0.561,0.561,0.561
14.2,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.572,0.572,0.572,0.572,0.572,0.572
14.2,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.594,0.594,0.594,0.594,0.594,0.594
14.3,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.616,0.616,0.616,0.616,0.616,0.616
14.4,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.5985,0.5985,0.5985,0.5985,0.5985,0.5985,0.5985,0.5985,0.5985,0.5985,0.5985,0.5985,0.741,0.741,0.741,0.741,0.741,0.741,0.741,0.741,0.741,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.627,0.627,0.627,0.627,0.627,0.627
14.5,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.6195,0.6195,0.6195,0.6195,0.6195,0.6195,0.6195,0.6195,0.6195,0.6195,0.6195,0.6195,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.649,0.649,0.649,0.649,0.649,0.649
14.6,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.6405,0.6405,0.6405,0.6405,0.6405,0.6405,0.6405,0.6405,0.6405,0.6405,0.6405,0.6405,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.671,0.671,0.671,0.671,0.671,0.671
14.8,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.6615,0.6615,0.6615,0.6615,0.6615,0.6615,0.6615,0.6615,0.6615,0.6615,0.6615,0.6615,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.693,0.693,0.693,0.693,0.693,0.693
15.1,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.832,0.832,0.832,0.832,0.832,0.832,0.832,0.832,0.832,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.704,0.704,0.704,0.704,0.704,0.704
15.4,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.693,0.693,0.693,0.693,0.693,0.693,0.693,0.693,0.693,0.693,0.693,0.693,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.726,0.726,0.726,0.726,0.726,0.726
15.8,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.748,0.748,0.748,0.748,0.748,0.748
16.3,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.7245,0.7245,0.7245,0.7245,0.7245,0.7245,0.7245,0.7245,0.7245,0.7245,0.7245,0.7245,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.759,0.759,0.759,0.759,0.759,0.759
17,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.7455,0.7455,0.7455,0.7455,0.7455,0.7455,0.7455,0.7455,0.7455,0.7455,0.7455,0.7455,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.781,0.781,0.781,0.781,0.781,0.781
17.8,1.022,1.022,1.022,1.022,1.022,1.022,1.022,1.022,1.022,1.022,0.7665,0.7665,0.7665,0.7665,0.7665,0.7665,0.7665,0.7665,0.7665,0.7665,0.7665,0.7665,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.803,0.803,0.803,0.803,0.803,0.803
18.9,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.814,0.814,0.814,0.814,0.814,0.814
20.3,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.836,0.836,0.836,0.836,0.836,0.836
22.1,1.092,1.092,1.092,1.092,1.092,1.092,1.092,1.092,1.092,1.092,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,1.014,1.014,1.014,1.014,1.014,1.014,1.014,1.014,1.014,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.858,0.858,0.858,0.858,0.858,0.858
24.5,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.88,0.88,0.88,0.88,0.88,0.88
27.5,1.134,1.134,1.134,1.134,1.134,1.134,1.134,1.134,1.134,1.134,0.8505,0.8505,0.8505,0.8505,0.8505,0.8505,0.8505,0.8505,0.8505,0.8505,0.8505,0.8505,1.053,1.053,1.053,1.053,1.053,1.053,1.053,1.053,1.053,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.891,0.891,0.891,0.891,0.891,0.891
31.3,1.162,1.162,1.162,1.162,1.162,1.162,1.162,1.162,1.162,1.162,0.8715,0.8715,0.8715,0.8715,0.8715,0.8715,0.8715,0.8715,0.8715,0.8715,0.8715,0.8715,1.079,1.079,1.079,1.079,1.079,1.079,1.079,1.079,1.079,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.913,0.913,0.913,0.913,0.913,0.913
36.3,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0.8925,0.8925,0.8925,0.8925,0.8925,0.8925,0.8925,0.8925,0.8925,0.8925,0.8925,0.8925,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.935,0.935,0.935,0.935,0.935,0.935
42.7,1.204,1.204,1.204,1.204,1.204,1.204,1.204,1.204,1.204,1.204,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,1.118,1.118,1.118,1.118,1.118,1.118,1.118,1.118,1.118,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.946,0.946,0.946,0.946,0.946,0.946
50.9,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,1.144,1.144,1.144,1.144,1.144,1.144,1.144,1.144,1.144,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.968,0.968,0.968,0.968,0.968,0.968
61.6,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.99,0.99,0.99,0.99,0.99,0.99
75.2,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,0.9555,0.9555,0.9555,0.9555,0.9555,0.9555,0.9555,0.9555,0.9555,0.9555,0.9555,0.9555,1.183,1.183,1.183,1.183,1.183,1.183,1.183,1.183,1.183,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,1.001,1.001,1.001,1.001,1.001,1.001
92.8,1.302,1.302,1.302,1.302,1.302,1.302,1.302,1.302,1.302,1.302,0.9765,0.9765,0.9765,0.9765,0.9765,0.9765,0.9765,0.9765,0.9765,0.9765,0.9765,0.9765,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,1.023,1.023,1.023,1.023,1.023,1.023
115.5,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1.045,1.045,1.045,1.045,1.045,1.045
144.6,1.358,1.358,1.358,1.358,1.358,1.358,1.358,1.358,1.358,1.358,1.0185,1.0185,1.0185,1.0185,1.0185,1.0185,1.0185,1.0185,1.0185,1.0185,1.0185,1.0185,1.261,1.261,1.261,1.261,1.261,1.261,1.261,1.261,1.261,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,1.067,1.067,1.067,1.067,1.067,1.067
182.1,1.372,1.372,1.372,1.372,1.372,1.372,1.372,1.372,1.372,1.372,1.029,1.029,1.029,1.029,1.029,1.029,1.029,1.029,1.029,1.029,1.029,1.029,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,1.078,1.078,1.078,1.078,1.078,1.078
230.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1
